u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
25.433470, 34.870000, 34.680000
25.155205, 34.810000, 34.952992
24.934640, 34.810000, 34.782594
24.762554, 34.810000, 34.809180
24.631077, 34.810000, 34.809180
24.533501, 34.810000, 34.809180
24.643015, 34.750000, 34.809180
24.741322, 34.750000, 34.722972
25.038425, 34.680000, 34.749559
25.286433, 34.680000, 34.648982
32.589173, 34.620000, 34.680000
38.486474, 34.620000, 34.593792
43.198214, 34.620000, 34.619828
47.089506, 34.560000, 34.619138
50.104831, 34.560000, 34.532509
52.384757, 34.560000, 34.558765
54.049607, 34.560000, 34.558510
55.381217, 34.500000, 34.558317
56.254099, 34.500000, 34.472143
56.749208, 34.500000, 34.498906
56.935998, 34.500000, 34.499268
56.874129, 34.500000, 34.499729
56.614624, 34.500000, 34.507007
56.221017, 34.500000, 34.518150
55.766461, 34.500000, 34.527099
55.313168, 34.500000, 34.534373
54.907438, 34.500000, 34.540187
54.401159, 34.560000, 34.544638
54.025056, 34.560000, 34.634153
53.601400, 34.620000, 34.610095
53.159247, 34.680000, 34.698138
52.687932, 34.750000, 34.758888
52.234353, 34.810000, 34.833426
51.624152, 34.930000, 34.888695
51.041404, 35.000000, 35.034227
50.513968, 35.060000, 35.081055
50.032344, 35.120000, 35.135512
49.587127, 35.180000, 35.194356
49.139862, 35.250000, 35.253248
48.718728, 35.310000, 35.326445
48.316413, 35.370000, 35.380894
47.718171, 35.500000, 35.439826
47.168213, 35.560000, 35.599280
46.477302, 35.680000, 35.627098
45.820232, 35.750000, 35.772138
45.040805, 35.870000, 35.818612
44.340282, 35.930000, 35.958992
43.672757, 36.000000, 35.991082
42.881383, 36.120000, 36.064213
42.167625, 36.180000, 36.204822
41.486544, 36.250000, 36.237093
40.682284, 36.370000, 36.310342
40.135913, 36.370000, 36.451037
39.619288, 36.430000, 36.396985
39.095132, 36.500000, 36.482215
38.592315, 36.560000, 36.555126
38.103875, 36.620000, 36.609166
37.623628, 36.680000, 36.667543
37.116224, 36.750000, 36.725906
36.791405, 36.750000, 36.798728
36.252291, 36.870000, 36.766447
35.892772, 36.870000, 36.937583
35.495412, 36.930000, 36.883219
35.241539, 36.930000, 36.968141
35.098700, 36.930000, 36.940427
34.831418, 37.000000, 36.939520
34.488318, 37.060000, 37.039204
34.259075, 37.060000, 37.093518
34.118657, 37.060000, 37.066084
33.867385, 37.120000, 37.065255
33.701492, 37.120000, 37.150614
33.601256, 37.120000, 37.123336
33.550669, 37.120000, 37.122571
33.536383, 37.120000, 37.121822
33.547360, 37.120000, 37.121170
33.574795, 37.120000, 37.120629
33.611914, 37.120000, 37.120302
33.654028, 37.120000, 37.119936
33.697581, 37.120000, 37.119405
33.560417, 37.180000, 37.118928
33.453372, 37.180000, 37.204829
33.369486, 37.180000, 37.177895
33.303049, 37.180000, 37.177547
33.249355, 37.180000, 37.177327
33.204895, 37.180000, 37.177203
33.346137, 37.120000, 37.177152
33.458040, 37.120000, 37.090944
33.545019, 37.120000, 37.117565
33.790018, 37.060000, 37.117622
33.983223, 37.060000, 37.031482
34.133232, 37.060000, 37.058142
34.247433, 37.060000, 37.058041
34.510516, 37.000000, 37.057835
34.922162, 36.930000, 36.971466
35.242444, 36.930000, 36.897350
35.485506, 36.930000, 36.928266
35.842447, 36.870000, 36.928183
36.110342, 36.870000, 36.842079
36.483074, 36.810000, 36.868879
36.939441, 36.750000, 36.782839
37.282833, 36.750000, 36.723520
37.742109, 36.680000, 36.750475
38.085726, 36.680000, 36.650188
38.513595, 36.620000, 36.681428
38.829832, 36.620000, 36.595560
39.054937, 36.620000, 36.622742
39.207121, 36.620000, 36.623358
39.302169, 36.620000, 36.623832
39.353094, 36.620000, 36.624358
39.191929, 36.680000, 36.624883
39.041247, 36.680000, 36.711652
38.903328, 36.680000, 36.685785
38.780416, 36.680000, 36.686457
38.674275, 36.680000, 36.687158
38.377575, 36.750000, 36.687832
38.140259, 36.750000, 36.789079
37.956568, 36.750000, 36.758686
37.821227, 36.750000, 36.759139
37.728969, 36.750000, 36.759454
37.674485, 36.750000, 36.759659
37.652524, 36.750000, 36.759779
37.658024, 36.750000, 36.759660
37.685708, 36.750000, 36.759394
37.730254, 36.750000, 36.759148
37.607994, 36.810000, 36.758927
37.707249, 36.750000, 36.844940
37.805908, 36.750000, 36.731779
38.110317, 36.680000, 36.757915
38.369105, 36.680000, 36.656985
38.586810, 36.680000, 36.687734
38.767754, 36.680000, 36.687544
38.916116, 36.680000, 36.687423
39.035929, 36.680000, 36.687361
39.131044, 36.680000, 36.687350
39.205094, 36.680000, 36.687381
39.261461, 36.680000, 36.687445
39.303244, 36.680000, 36.687359
39.124001, 36.750000, 36.687365
38.974811, 36.750000, 36.788111
38.851660, 36.750000, 36.757462
38.573014, 36.810000, 36.757939
38.350677, 36.810000, 36.844551
37.998912, 36.870000, 36.818301
37.725048, 36.870000, 36.904788
37.518115, 36.870000, 36.878428
37.189496, 36.930000, 36.878609
36.944033, 36.930000, 36.964959
36.768721, 36.930000, 36.938482
36.831147, 36.870000, 36.938565
36.908052, 36.870000, 36.852214
36.995736, 36.870000, 36.878522
36.911480, 36.930000, 36.878292
37.044301, 36.870000, 36.964138
37.172165, 36.870000, 36.850921
37.113991, 36.930000, 36.877001
37.081103, 36.930000, 36.962682
37.066226, 36.930000, 36.935692
37.242496, 36.870000, 36.935219
37.391627, 36.870000, 36.848529
37.514991, 36.870000, 36.874763
37.435379, 36.930000, 36.874694
37.368821, 36.930000, 36.961023
37.313209, 36.930000, 36.934578
37.267266, 36.930000, 36.934562
37.020914, 37.000000, 36.934628
36.822136, 37.000000, 37.035427
36.664255, 37.000000, 37.004448
36.541211, 37.000000, 37.004373
36.268421, 37.060000, 37.004334
36.054377, 37.060000, 37.090702
35.890015, 37.060000, 37.064391
35.589262, 37.120000, 37.064621
35.359529, 37.120000, 37.150844
35.189630, 37.120000, 37.124133
34.890431, 37.180000, 37.124030
34.666442, 37.180000, 37.210152
34.504633, 37.180000, 37.183292
34.572266, 37.120000, 37.182917
34.645498, 37.120000, 37.096408
34.542058, 37.180000, 37.122758
34.472829, 37.180000, 37.208610
34.430072, 37.180000, 37.181613
34.407031, 37.180000, 37.181295
34.398230, 37.180000, 37.180881
34.398913, 37.180000, 37.180434
34.196249, 37.250000, 37.180099
34.036134, 37.250000, 37.280259
34.118320, 37.180000, 37.248802
34.186140, 37.180000, 37.147902
34.239792, 37.180000, 37.178866
34.280495, 37.180000, 37.178987
34.101572, 37.250000, 37.178941
34.162421, 37.180000, 37.279373
34.208823, 37.180000, 37.147686
34.242662, 37.180000, 37.178650
34.265691, 37.180000, 37.178624
34.279555, 37.180000, 37.178618
34.285787, 37.180000, 37.178422
34.285174, 37.180000, 37.178116
34.456762, 37.120000, 37.178077
34.587834, 37.120000, 37.091996
34.685173, 37.120000, 37.118685
34.933712, 37.060000, 37.118764
35.125164, 37.060000, 37.032412
35.268652, 37.060000, 37.058925
35.371877, 37.060000, 37.059016
35.441862, 37.060000, 37.059083
35.663606, 37.000000, 37.059130
35.828827, 37.000000, 36.972953
35.947237, 37.000000, 36.999556
36.027019, 37.000000, 36.999560
