u(k), y(k), y_simulation(k)
46.000000, 23.310000, 33.180000
26.000000, 23.370000, 19.793870
46.000000, 23.310000, 23.463972
66.000000, 23.370000, 23.437346
86.000000, 23.370000, 23.518751
100.000000, 23.370000, 23.518721
100.000000, 23.370000, 23.650065
100.000000, 23.370000, 23.781410
100.000000, 23.430000, 23.889784
80.000000, 23.430000, 24.009504
100.000000, 23.500000, 23.987688
100.000000, 23.560000, 24.082625
100.000000, 23.620000, 24.061983
100.000000, 23.680000, 24.143328
100.000000, 23.810000, 24.257665
100.000000, 24.000000, 24.412161
100.000000, 24.180000, 24.622580
100.000000, 24.370000, 24.797620
100.000000, 24.560000, 24.989858
100.000000, 24.750000, 25.178461
100.000000, 25.000000, 25.367063
100.000000, 25.250000, 25.637040
100.000000, 25.500000, 25.885201
100.000000, 25.750000, 26.133363
100.000000, 26.060000, 26.381524
100.000000, 26.310000, 26.711060
100.000000, 26.620000, 26.937405
100.000000, 26.930000, 27.266941
100.000000, 27.250000, 27.574660
100.000000, 27.560000, 27.895943
u(k), yzad(k), y(k), y_simulation(k)
46.000000, 33.180000, 32.430000, 33.180000
26.000000, 33.180000, 32.430000, 32.162817
29.425538, 33.180000, 32.430000, 32.435516
32.851077, 33.180000, 32.430000, 32.512082
36.276615, 33.180000, 32.430000, 32.490295
39.702154, 33.180000, 32.430000, 32.448630
43.127692, 33.180000, 32.430000, 32.471127
46.553231, 33.180000, 32.430000, 32.493623
66.553231, 40.000000, 32.430000, 32.516119
46.553231, 40.000000, 32.430000, 32.538615
66.553231, 40.000000, 32.430000, 32.561112
86.553231, 40.000000, 32.430000, 32.647059
100.000000, 40.000000, 32.430000, 32.625273
100.000000, 40.000000, 32.430000, 32.647059
100.000000, 40.000000, 32.500000, 32.778404
