u(k), yzad(k), y(k), y_simulation(k)
46.000000, 33.180000, 32.810000, 33.180000
30.554019, 33.180000, 32.810000, 32.678190
32.243951, 33.180000, 32.810000, 32.812721
33.933883, 33.180000, 32.810000, 32.889287
35.623816, 33.180000, 32.810000, 32.884934
37.313748, 33.180000, 32.810000, 32.849098
39.003680, 33.180000, 32.810000, 32.860196
40.693613, 33.180000, 32.810000, 32.871294
47.080643, 33.180000, 32.750000, 32.882393
41.568723, 33.180000, 32.810000, 32.812116
46.037453, 33.180000, 32.810000, 32.926405
47.727385, 33.180000, 32.810000, 32.933669
49.417317, 33.180000, 32.810000, 32.930061
51.107249, 33.180000, 32.810000, 32.932072
52.797182, 33.180000, 32.810000, 32.950781
54.487114, 33.180000, 32.810000, 32.961879
56.177046, 33.180000, 32.810000, 32.972978
53.169880, 33.180000, 32.870000, 32.984076
73.169880, 42.000000, 32.870000, 33.076548
53.169880, 42.000000, 32.870000, 33.065831
73.169880, 42.000000, 32.930000, 33.058947
93.169880, 42.000000, 32.930000, 33.208650
100.000000, 42.000000, 33.000000, 33.165048
100.000000, 42.000000, 33.060000, 33.281772
100.000000, 42.000000, 33.060000, 33.469039
100.000000, 42.000000, 33.180000, 33.528149
100.000000, 42.000000, 33.250000, 33.709606
100.000000, 42.000000, 33.310000, 33.760911
100.000000, 42.000000, 33.430000, 33.816834
100.000000, 42.000000, 33.560000, 33.957767
100.000000, 42.000000, 33.680000, 34.090447
100.000000, 42.000000, 33.810000, 34.205928
100.000000, 42.000000, 34.000000, 34.338608
100.000000, 42.000000, 34.120000, 34.549026
100.000000, 42.000000, 34.310000, 34.642692
100.000000, 42.000000, 34.500000, 34.856746
100.000000, 42.000000, 34.680000, 35.045349
100.000000, 42.000000, 34.870000, 35.220389
100.000000, 42.000000, 35.060000, 35.412627
100.000000, 42.000000, 35.250000, 35.601230
100.000000, 42.000000, 35.430000, 35.789832
100.000000, 42.000000, 35.620000, 35.964872
100.000000, 42.000000, 35.870000, 36.157111
100.000000, 42.000000, 36.060000, 36.427088
100.000000, 42.000000, 36.310000, 36.593874
100.000000, 42.000000, 36.500000, 36.863852
100.000000, 42.000000, 36.750000, 37.030638
100.000000, 42.000000, 36.930000, 37.300615
100.000000, 42.000000, 37.180000, 37.453839
100.000000, 42.000000, 37.370000, 37.727452
100.000000, 42.000000, 37.620000, 37.894239
100.000000, 42.000000, 37.810000, 38.164216
100.000000, 42.000000, 38.060000, 38.331003
100.000000, 42.000000, 38.250000, 38.600980
100.000000, 42.000000, 38.500000, 38.767766
100.000000, 42.000000, 38.680000, 39.037743
100.000000, 42.000000, 38.870000, 39.190967
100.000000, 42.000000, 39.060000, 39.383206
100.000000, 42.000000, 39.310000, 39.571808
100.000000, 42.000000, 39.500000, 39.841786
100.000000, 42.000000, 39.750000, 40.008572
100.000000, 42.000000, 39.930000, 40.278549
100.000000, 42.000000, 40.120000, 40.431773
100.000000, 42.000000, 40.310000, 40.624012
100.000000, 42.000000, 40.500000, 40.812614
100.000000, 42.000000, 40.680000, 41.001217
99.491193, 42.000000, 40.870000, 41.176257
98.577716, 42.000000, 41.060000, 41.368495
96.796436, 42.000000, 41.250000, 41.557098
89.450255, 42.000000, 41.500000, 41.743752
89.220972, 42.000000, 41.680000, 42.008839
84.144781, 42.000000, 41.870000, 42.152742
83.361018, 42.000000, 42.000000, 42.311978
75.290449, 42.000000, 42.180000, 42.398208
67.930566, 42.000000, 42.370000, 42.575003
64.863110, 42.000000, 42.500000, 42.750337
54.508849, 42.000000, 42.680000, 42.824522
44.865273, 42.000000, 42.870000, 42.971098
39.514126, 42.000000, 43.000000, 43.131435
31.573271, 42.000000, 43.120000, 43.190622
21.838347, 42.000000, 43.250000, 43.240826
12.755646, 42.000000, 43.370000, 43.326607
7.358824, 42.000000, 43.430000, 43.397032
0.000000, 42.000000, 43.560000, 43.375757
0.000000, 42.000000, 43.680000, 43.468818
0.000000, 42.000000, 43.750000, 43.538762
0.000000, 42.000000, 43.810000, 43.547114
0.000000, 42.000000, 43.810000, 43.582881
0.000000, 42.000000, 43.870000, 43.561065
0.000000, 42.000000, 43.870000, 43.642440
0.000000, 42.000000, 43.810000, 43.620624
0.000000, 42.000000, 43.810000, 43.539249
0.000000, 42.000000, 43.750000, 43.561065
0.000000, 42.000000, 43.680000, 43.479691
0.000000, 42.000000, 43.620000, 43.406570
0.000000, 42.000000, 43.500000, 43.350647
0.000000, 42.000000, 43.370000, 43.209714
0.000000, 42.000000, 43.250000, 43.077034
0.000000, 42.000000, 43.120000, 42.961552
0.000000, 42.000000, 43.000000, 42.828873
4.749167, 42.000000, 42.810000, 42.713391
2.427108, 42.000000, 42.680000, 42.499337
7.391855, 42.000000, 42.500000, 42.392109
11.645917, 42.000000, 42.310000, 42.213434
16.304650, 42.000000, 42.120000, 42.025314
21.831185, 42.000000, 41.930000, 41.849358
27.442674, 42.000000, 41.750000, 41.690639
35.122274, 42.000000, 41.560000, 41.545086
43.206545, 42.000000, 41.370000, 41.386764
52.158619, 42.000000, 41.180000, 41.234781
66.675594, 42.000000, 40.930000, 41.090947
74.075671, 42.000000, 40.750000, 40.872953
86.322656, 42.000000, 40.560000, 40.776142
98.974311, 42.000000, 40.370000, 40.663998
100.000000, 42.000000, 40.180000, 40.543486
100.000000, 42.000000, 40.000000, 40.422037
100.000000, 42.000000, 39.870000, 40.328974
100.000000, 42.000000, 39.680000, 40.256689
100.000000, 42.000000, 39.560000, 40.049080
100.000000, 42.000000, 39.430000, 39.955415
100.000000, 42.000000, 39.310000, 39.822735
100.000000, 42.000000, 39.250000, 39.707254
100.000000, 42.000000, 39.180000, 39.669511
100.000000, 42.000000, 39.120000, 39.596390
100.000000, 42.000000, 39.120000, 39.540467
100.000000, 42.000000, 39.120000, 39.562283
100.000000, 42.000000, 39.180000, 39.562283
100.000000, 42.000000, 39.250000, 39.643658
100.000000, 42.000000, 39.310000, 39.716779
100.000000, 42.000000, 39.370000, 39.772702
100.000000, 42.000000, 39.430000, 39.832260
100.000000, 42.000000, 39.560000, 39.891819
100.000000, 42.000000, 39.620000, 40.046315
100.000000, 42.000000, 39.750000, 40.080422
100.000000, 42.000000, 39.810000, 40.234917
97.907224, 42.000000, 40.000000, 40.269024
100.000000, 42.000000, 40.120000, 40.504894
100.000000, 42.000000, 40.250000, 40.598560
100.000000, 42.000000, 40.370000, 40.723228
98.128286, 42.000000, 40.560000, 40.840989
100.000000, 42.000000, 40.680000, 41.060775
96.712397, 42.000000, 40.870000, 41.154441
100.000000, 42.000000, 41.000000, 41.361330
96.496816, 42.000000, 41.180000, 41.470597
93.704317, 42.000000, 41.370000, 41.659993
95.204246, 42.000000, 41.500000, 41.855813
83.937422, 42.000000, 41.750000, 41.958634
82.566293, 42.000000, 41.930000, 42.230142
76.348256, 42.000000, 42.120000, 42.381460
74.422646, 42.000000, 42.250000, 42.534674
59.730283, 42.000000, 42.500000, 42.605794
59.630714, 42.000000, 42.620000, 42.870027
47.482385, 42.000000, 42.810000, 42.917474
37.708182, 42.000000, 43.000000, 43.070008
32.546124, 42.000000, 43.120000, 43.217987
22.811200, 42.000000, 43.250000, 43.264873
9.031401, 42.000000, 43.430000, 43.326861
0.659385, 42.000000, 43.560000, 43.477184
0.000000, 42.000000, 43.620000, 43.536642
0.000000, 42.000000, 43.750000, 43.491332
0.000000, 42.000000, 43.810000, 43.576035
0.000000, 42.000000, 43.870000, 43.584687
0.000000, 42.000000, 43.930000, 43.642440
0.000000, 42.000000, 43.930000, 43.701999
0.000000, 42.000000, 43.930000, 43.680183
0.000000, 42.000000, 43.870000, 43.680183
0.000000, 42.000000, 43.870000, 43.598808
0.000000, 42.000000, 43.810000, 43.620624
0.000000, 42.000000, 43.750000, 43.539249
0.000000, 42.000000, 43.680000, 43.479691
0.000000, 42.000000, 43.560000, 43.406570
0.000000, 42.000000, 43.500000, 43.269272
0.547173, 42.000000, 43.370000, 43.231530
0.000000, 42.000000, 43.250000, 43.077034
0.000000, 42.000000, 43.120000, 42.961552
3.737948, 42.000000, 42.930000, 42.830967
0.084953, 42.000000, 42.810000, 42.619953
5.701923, 42.000000, 42.620000, 42.524789
8.944766, 42.000000, 42.430000, 42.325044
7.575464, 42.000000, 42.310000, 42.132695
20.173224, 42.000000, 42.060000, 42.050528
18.497908, 42.000000, 41.930000, 41.782898
26.888193, 42.000000, 41.750000, 41.701126
34.567794, 42.000000, 41.560000, 41.548747
37.954966, 42.000000, 41.430000, 41.384599
48.628944, 42.000000, 41.250000, 41.304903
58.592237, 42.000000, 41.060000, 41.160427
68.960200, 42.000000, 40.870000, 41.002190
80.195966, 42.000000, 40.680000, 40.863727
91.516686, 42.000000, 40.500000, 40.742502
100.000000, 42.000000, 40.310000, 40.634443
100.000000, 42.000000, 40.180000, 40.513615
100.000000, 42.000000, 40.000000, 40.480500
100.000000, 42.000000, 39.870000, 40.347127
100.000000, 42.000000, 39.750000, 40.259499
100.000000, 42.000000, 39.560000, 40.144017
100.000000, 42.000000, 39.500000, 39.929963
100.000000, 42.000000, 39.430000, 39.917672
100.000000, 42.000000, 39.370000, 39.844551
100.000000, 42.000000, 39.370000, 39.788628
100.000000, 42.000000, 39.310000, 39.810444
100.000000, 42.000000, 39.370000, 39.729070
100.000000, 42.000000, 39.370000, 39.832260
100.000000, 42.000000, 39.430000, 39.810444
100.000000, 42.000000, 39.500000, 39.891819
100.000000, 42.000000, 39.560000, 39.964940
100.000000, 42.000000, 39.620000, 40.020863
100.000000, 42.000000, 39.750000, 40.080422
100.000000, 42.000000, 39.870000, 40.234917
100.000000, 42.000000, 39.930000, 40.350399
97.359138, 42.000000, 40.120000, 40.388141
100.000000, 42.000000, 40.250000, 40.624012
99.922354, 42.000000, 40.430000, 40.731240
100.000000, 42.000000, 40.560000, 40.917986
97.723616, 42.000000, 40.750000, 41.031726
100.000000, 42.000000, 40.870000, 41.249081
95.844593, 42.000000, 41.060000, 41.342831
94.063313, 42.000000, 41.250000, 41.548383
96.894178, 42.000000, 41.370000, 41.739465
90.455080, 42.000000, 41.560000, 41.823458
86.390107, 42.000000, 41.750000, 42.019311
82.240182, 42.000000, 41.930000, 42.213872
76.022144, 42.000000, 42.120000, 42.372016
69.399437, 42.000000, 42.310000, 42.531056
61.908926, 42.000000, 42.500000, 42.692638
54.333462, 42.000000, 42.680000, 42.846069
44.689886, 42.000000, 42.870000, 42.978725
39.338738, 42.000000, 43.000000, 43.124149
26.700785, 42.000000, 43.180000, 43.181859
19.470615, 42.000000, 43.310000, 43.321048
4.633923, 42.000000, 43.500000, 43.385013
0.000000, 42.000000, 43.620000, 43.532394
0.000000, 42.000000, 43.680000, 43.563766
0.000000, 42.000000, 43.810000, 43.524906
0.000000, 42.000000, 43.870000, 43.621025
0.000000, 42.000000, 43.930000, 43.642440
0.000000, 42.000000, 43.930000, 43.701999
0.000000, 42.000000, 44.000000, 43.680183
0.000000, 42.000000, 44.000000, 43.775120
0.000000, 42.000000, 43.930000, 43.749668
0.000000, 42.000000, 43.930000, 43.654731
0.000000, 42.000000, 43.870000, 43.680183
0.000000, 42.000000, 43.810000, 43.598808
0.000000, 42.000000, 43.750000, 43.539249
0.000000, 42.000000, 43.620000, 43.479691
0.000000, 42.000000, 43.500000, 43.325195
0.000000, 42.000000, 43.370000, 43.209714
0.000000, 42.000000, 43.250000, 43.077034
0.000000, 42.000000, 43.120000, 42.961552
3.737948, 42.000000, 42.930000, 42.828873
0.084953, 42.000000, 42.810000, 42.618454
1.004825, 42.000000, 42.680000, 42.524789
5.969572, 42.000000, 42.500000, 42.406419
10.223634, 42.000000, 42.310000, 42.205816
14.882366, 42.000000, 42.120000, 42.007094
20.408901, 42.000000, 41.930000, 41.840017
21.323292, 42.000000, 41.810000, 41.681299
36.204744, 42.000000, 41.560000, 41.617120
41.510218, 42.000000, 41.370000, 41.355608
50.462292, 42.000000, 41.180000, 41.207459
59.499319, 42.000000, 41.000000, 41.078331
70.604458, 42.000000, 40.810000, 40.964361
82.114268, 42.000000, 40.620000, 40.820925
94.491880, 42.000000, 40.430000, 40.691438
100.000000, 42.000000, 40.250000, 40.570101
100.000000, 42.000000, 40.060000, 40.469540
100.000000, 42.000000, 39.930000, 40.356211
100.000000, 42.000000, 39.810000, 40.303971
100.000000, 42.000000, 39.680000, 40.203576
100.000000, 42.000000, 39.620000, 40.070896
100.000000, 42.000000, 39.560000, 40.036790
100.000000, 42.000000, 39.500000, 39.977231
100.000000, 42.000000, 39.430000, 39.917672
100.000000, 42.000000, 39.430000, 39.844551
100.000000, 42.000000, 39.430000, 39.870003
100.000000, 42.000000, 39.430000, 39.870003
100.000000, 42.000000, 39.500000, 39.870003
100.000000, 42.000000, 39.560000, 39.964940
100.000000, 42.000000, 39.620000, 40.020863
100.000000, 42.000000, 39.750000, 40.080422
