u(k), y(k)
26.854903, 34.000000
27.488924, 34.000000
27.938747, 34.000000
28.236986, 34.000000
28.412360, 34.000000
28.489896, 34.000000
29.089596, 33.930000
29.476794, 33.930000
29.692648, 33.930000
29.772851, 33.930000
100.000000, 33.930000
100.000000, 33.930000
100.000000, 33.930000
100.000000, 34.000000
100.000000, 33.930000
100.000000, 34.000000
100.000000, 34.000000
100.000000, 34.060000
100.000000, 34.120000
100.000000, 34.120000
100.000000, 34.250000
100.000000, 34.310000
100.000000, 34.430000
100.000000, 34.560000
100.000000, 34.680000
100.000000, 34.870000
100.000000, 35.000000
100.000000, 35.120000
100.000000, 35.310000
100.000000, 35.500000
100.000000, 35.680000
100.000000, 35.870000
100.000000, 36.060000
100.000000, 36.250000
100.000000, 36.500000
100.000000, 36.680000
100.000000, 36.870000
100.000000, 37.120000
100.000000, 37.310000
100.000000, 37.560000
100.000000, 37.810000
100.000000, 38.000000
100.000000, 38.250000
100.000000, 38.500000
100.000000, 38.680000
100.000000, 38.870000
100.000000, 39.120000
100.000000, 39.370000
100.000000, 39.620000
100.000000, 39.810000
100.000000, 40.000000
100.000000, 40.250000
100.000000, 40.430000
100.000000, 40.620000
100.000000, 40.870000
100.000000, 41.060000
100.000000, 41.250000
100.000000, 41.430000
100.000000, 41.680000
100.000000, 41.870000
98.668359, 42.120000
96.314696, 42.310000
93.232255, 42.500000
89.748182, 42.680000
86.464019, 42.810000
82.894474, 43.000000
79.272585, 43.180000
75.606288, 43.370000
72.500381, 43.500000
69.463282, 43.680000
66.971167, 43.810000
64.434448, 44.000000
61.989244, 44.180000
60.056773, 44.310000
58.582562, 44.430000
57.325143, 44.560000
56.770109, 44.620000
56.071168, 44.750000
55.777002, 44.810000
55.184754, 44.930000
54.708105, 45.000000
54.325545, 45.060000
53.941222, 45.120000
53.488938, 45.180000
52.838086, 45.250000
52.584374, 45.250000
52.073519, 45.310000
51.846265, 45.310000
51.808589, 45.310000
52.405405, 45.250000
52.942558, 45.250000
53.405918, 45.250000
53.786908, 45.250000
54.082840, 45.250000
54.893665, 45.180000
55.469671, 45.180000
55.839042, 45.180000
56.542695, 45.120000
57.474914, 45.060000
58.037736, 45.060000
58.812326, 45.000000
59.819676, 44.930000
60.906661, 44.870000
61.528899, 44.870000
62.306462, 44.810000
63.196097, 44.750000
63.652398, 44.750000
64.382349, 44.680000
65.234603, 44.620000
65.663533, 44.620000
66.291842, 44.560000
67.078702, 44.500000
68.074003, 44.430000
68.630141, 44.430000
69.376732, 44.370000
69.763332, 44.370000
70.400451, 44.310000
70.724391, 44.310000
70.821341, 44.310000
71.273984, 44.250000
71.496020, 44.250000
72.153451, 44.180000
72.546888, 44.180000
72.747425, 44.180000
72.817641, 44.180000
72.807578, 44.180000
72.755731, 44.180000
72.689869, 44.180000
72.031712, 44.250000
71.034872, 44.310000
70.324194, 44.310000
69.857571, 44.310000
69.083868, 44.370000
68.616455, 44.370000
67.892988, 44.430000
67.512027, 44.430000
66.808472, 44.500000
66.474497, 44.500000
66.430370, 44.500000
66.093720, 44.560000
66.045790, 44.560000
65.689558, 44.620000
65.084676, 44.680000
64.798180, 44.680000
64.743660, 44.680000
64.251689, 44.750000
64.017287, 44.750000
63.969343, 44.750000
64.049062, 44.750000
63.696634, 44.810000
63.525192, 44.810000
63.488603, 44.810000
63.036723, 44.870000
62.784034, 44.870000
63.191988, 44.810000
63.571499, 44.810000
63.399555, 44.870000
63.314337, 44.870000
63.288607, 44.870000
63.303048, 44.870000
62.832570, 44.930000
62.511353, 44.930000
62.306556, 44.930000
61.593342, 45.000000
61.100350, 45.000000
60.779801, 45.000000
60.597092, 45.000000
60.529046, 45.000000
60.553042, 45.000000
60.132847, 45.060000
59.893915, 45.060000
59.798259, 45.060000
59.809644, 45.060000
59.381378, 45.120000
59.131863, 45.120000
59.013935, 45.120000
58.985514, 45.120000
59.526929, 45.060000
59.969486, 45.060000
60.319871, 45.060000
61.101393, 45.000000
61.676641, 45.000000
62.073517, 45.000000
62.319318, 45.000000
63.039640, 44.930000
63.503314, 44.930000
63.753135, 44.930000
63.828509, 44.930000
63.766122, 44.930000
64.116800, 44.870000
64.272069, 44.870000
64.797615, 44.810000
65.095235, 44.810000
65.740789, 44.750000
66.139088, 44.750000
66.350084, 44.750000
66.425850, 44.750000
67.009482, 44.680000
66.782973, 44.750000
66.547858, 44.750000
66.315420, 44.750000
66.095064, 44.750000
65.895001, 44.750000
65.723432, 44.750000
65.587354, 44.750000
64.980362, 44.810000
64.552840, 44.810000
64.282523, 44.810000
64.144852, 44.810000
64.119640, 44.810000
63.672844, 44.870000
63.937915, 44.810000
63.710876, 44.870000
64.132455, 44.810000
64.521409, 44.810000
64.357341, 44.870000
64.281694, 44.870000
64.267019, 44.870000
