u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
23.178821, 31.430000, 31.100000
20.488117, 31.500000, 31.100000
18.559887, 31.500000, 31.100000
17.859255, 31.430000, 31.100000
16.917136, 31.500000, 31.100000
16.409568, 31.500000, 31.100000
16.245000, 31.500000, 31.100000
16.344941, 31.500000, 31.100000
16.642861, 31.500000, 31.100000
17.083050, 31.500000, 31.100000
17.619479, 31.500000, 31.100000
18.214683, 31.500000, 31.100000
18.814515, 31.500000, 31.097173
19.350176, 31.500000, 31.088318
20.365033, 31.430000, 31.072956
21.080896, 31.430000, 31.052728
21.519907, 31.430000, 31.029050
21.713369, 31.430000, 31.002805
21.700392, 31.430000, 30.975056
22.037379, 31.370000, 30.946794
22.123165, 31.370000, 30.918846
22.022046, 31.370000, 30.891856
21.791842, 31.370000, 30.866300
21.482728, 31.370000, 30.842506
21.649477, 31.310000, 30.820654
21.166595, 31.370000, 30.800749
21.243363, 31.310000, 30.783215
21.255284, 31.310000, 30.768282
21.235151, 31.310000, 30.755531
21.203292, 31.310000, 30.744315
100.000000, 31.310000, 30.733953
100.000000, 31.250000, 30.724346
100.000000, 31.250000, 30.715456
100.000000, 31.250000, 30.706889
100.000000, 31.250000, 30.698201
100.000000, 31.250000, 30.689026
100.000000, 31.250000, 30.679627
100.000000, 31.250000, 30.669827
100.000000, 31.250000, 30.659622
100.000000, 31.310000, 30.649370
100.000000, 31.370000, 30.639146
100.000000, 31.430000, 30.628943
100.000000, 31.500000, 30.697740
100.000000, 31.620000, 30.859690
100.000000, 31.750000, 31.060704
100.000000, 31.870000, 31.277349
100.000000, 32.060000, 31.499480
100.000000, 32.180000, 31.722713
100.000000, 32.370000, 31.945161
100.000000, 32.560000, 32.166018
100.000000, 32.750000, 32.384947
100.000000, 32.930000, 32.601814
100.000000, 33.180000, 32.816575
100.000000, 33.370000, 33.029220
100.000000, 33.620000, 33.239759
100.000000, 33.810000, 33.448207
100.000000, 34.060000, 33.654583
100.000000, 34.310000, 33.858907
100.000000, 34.560000, 34.061197
100.000000, 34.750000, 34.261475
100.000000, 35.000000, 34.459760
100.000000, 35.250000, 34.656072
100.000000, 35.500000, 34.850431
100.000000, 35.750000, 35.042856
100.000000, 35.930000, 35.233366
100.000000, 36.180000, 35.421981
100.000000, 36.430000, 35.608719
100.000000, 36.680000, 35.793599
100.000000, 36.930000, 35.976639
100.000000, 37.120000, 36.157858
100.000000, 37.370000, 36.337274
100.000000, 37.620000, 36.514904
100.000000, 37.810000, 36.690767
100.000000, 38.000000, 36.864881
100.000000, 38.250000, 37.037261
100.000000, 38.500000, 37.207927
100.000000, 38.680000, 37.376894
100.000000, 38.870000, 37.544180
