u(k), y(k)
26.170981, 34.180000, 26.297785
34.180000, 26.387749, 34.180000
26.447397, 34.180000, 26.482472
34.180000, 26.497979, 34.180000
27.011174, 34.120000, 27.380264
34.120000, 27.117412, 34.180000
27.403171, 34.120000, 100.000000
34.120000, 100.000000, 34.120000
100.000000, 34.120000, 100.000000
34.120000, 100.000000, 34.120000
100.000000, 34.120000, 100.000000
34.120000, 100.000000, 34.180000
100.000000, 34.180000, 100.000000
34.180000, 100.000000, 34.250000
100.000000, 34.310000, 100.000000
34.430000, 100.000000, 34.500000
100.000000, 34.620000, 100.000000
34.810000, 100.000000, 34.930000
100.000000, 35.060000, 100.000000
35.250000, 100.000000, 35.430000
100.000000, 35.560000, 100.000000
35.810000, 100.000000, 36.000000
100.000000, 36.180000, 100.000000
36.430000, 100.000000, 36.620000
100.000000, 36.810000, 100.000000
37.060000, 100.000000, 37.310000
100.000000, 37.500000, 100.000000
37.750000, 100.000000, 38.000000
100.000000, 38.250000, 100.000000
38.430000, 100.000000, 38.680000
100.000000, 38.870000, 100.000000
39.120000, 100.000000, 39.370000
100.000000, 39.560000, 100.000000
39.810000, 100.000000, 40.000000
100.000000, 40.250000, 100.000000
40.430000, 100.000000, 40.680000
100.000000, 40.870000, 100.000000
41.060000, 100.000000, 41.310000
100.000000, 41.500000, 100.000000
41.680000, 100.000000, 41.870000
99.632631, 42.000000, 98.080204
42.180000, 95.569596, 42.370000
92.895723, 42.500000, 89.730328
42.680000, 86.175359, 42.870000
82.916036, 43.000000, 79.528781
43.180000, 76.546565, 43.310000
73.426593, 43.500000, 70.354350
43.680000, 67.811980, 43.810000
65.211708, 44.000000, 63.201849
44.120000, 61.558383, 44.250000
59.741890, 44.430000, 58.185934
44.560000, 57.375493, 44.620000
55.949478, 44.810000, 55.102547
44.870000, 54.028280, 45.000000
53.314578, 45.060000, 52.805615
45.120000, 52.382926, 45.180000
51.874040, 45.250000, 51.327498
45.310000, 51.219329, 45.310000
51.396195, 45.310000, 51.737690
45.310000, 52.157686, 45.310000
52.592467, 45.310000, 52.995885
45.310000, 53.849627, 45.250000
54.489052, 45.250000, 55.527567
45.180000, 56.233084, 45.180000
57.166544, 45.120000, 58.239171
45.060000, 58.870511, 45.060000
59.659724, 45.000000, 60.640690
44.930000, 61.668344, 44.870000
62.205728, 44.870000, 62.880425
44.810000, 63.660790, 44.750000
64.608398, 44.680000, 65.085705
44.680000, 65.728373, 44.620000
66.506367, 44.560000, 66.883224
44.560000, 67.481958, 44.500000
67.746001, 44.500000, 68.370252
44.430000, 68.683461, 44.430000
69.287545, 44.370000, 69.607096
44.370000, 70.234600, 44.310000
70.592576, 44.310000, 70.756252
44.310000, 70.785303, 44.310000
71.242633, 44.250000, 71.520846
44.250000, 71.670477, 44.250000
71.731088, 44.250000, 71.735031
44.250000, 71.708002, 44.250000
71.670649, 44.250000, 71.638492
44.250000, 71.623787, 44.250000
71.635320, 44.250000, 71.675628
44.250000, 71.229038, 44.310000
70.939365, 44.310000, 70.784416
44.310000, 70.229384, 44.370000
69.897931, 44.370000, 69.234124
44.430000, 68.844579, 44.430000
68.673138, 44.430000, 68.072622
44.500000, 67.754636, 44.500000
67.146080, 44.560000, 66.841527
44.560000, 66.772102, 44.560000
66.363023, 44.620000, 66.208974
44.620000, 66.243924, 44.620000
65.898243, 44.680000, 65.768801
44.680000, 65.793797, 44.680000
65.327218, 44.750000, 65.082391
44.750000, 65.001027, 44.750000
